Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Queens,81,QN34,Queens Village,52504,2981,2937,3360,3899,4004,3683,3508,3289,3691,4026,4107,3517,2991,6511,38
Queens,81,QN35,Briarwood-Jamaica Hills,39138,2418,2049,1992,2367,2947,3337,3430,2970,2806,2704,2740,2407,2061,4910,36.7
Queens,81,QN37,Kew Gardens Hills,37479,3184,2224,1984,2270,3302,3403,2941,2352,2071,2224,2430,2324,2079,4691,33.9
Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,34034,1727,1740,1880,3706,2958,2239,2073,1941,2027,2332,2357,2212,1824,5018,36.7
Queens,81,QN41,Fresh Meadows-Utopia,17812,1032,1048,962,1046,1109,1193,1107,1291,1291,1423,1403,1236,1153,2518,40.4
Queens,81,QN42,Oakland Gardens,28237,1279,1463,1646,1613,1408,1551,1643,1914,2124,2374,2416,2193,1954,4659,43.7
Queens,81,QN43,Bellerose,25287,1347,1374,1485,1659,1674,1726,1687,1567,1769,1960,2236,1926,1490,3387,40.4
Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,22571,845,857,967,1160,1176,1379,1402,1226,1293,1566,1672,1734,1537,5757,48.2
Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,24739,1086,1303,1423,1280,1173,1217,1355,1591,1709,1955,2000,1965,1842,4840,45.6
Queens,81,QN46,Bayside-Bayside Hills,43808,2106,2199,2353,2694,2504,2832,2935,3014,3158,3569,3531,3197,2698,7018,42
Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,21751,986,827,847,871,809,1042,1325,1307,1412,1511,1726,1647,1685,5756,49.8
Queens,81,QN48,Auburndale,19996,917,966,1063,1168,1214,1307,1296,1336,1451,1557,1659,1560,1326,3176,42.5
Queens,81,QN49,Whitestone,30773,1554,1564,1682,1627,1580,1710,1940,1972,2221,2278,2219,2173,2143,6110,44
Queens,81,QN50,Elmhurst-Maspeth,25521,1486,1455,1327,1314,1895,2496,2344,2182,1922,1931,1725,1447,1239,2758,36
Queens,81,QN51,Murray Hill,51739,2539,2295,2254,2743,3236,3816,3759,3750,3751,4097,4331,3668,3201,8299,41.9
Queens,81,QN52,East Flushing,26982,1350,1318,1281,1602,2048,2108,1962,1958,1916,2191,2352,1875,1469,3552,39.7
Queens,81,QN53,Woodhaven,56674,3641,3642,3983,4395,4584,4392,4138,4170,4367,4388,3962,3270,2621,5121,34.5
Queens,81,QN54,Richmond Hill,62982,4248,4142,4403,4910,5070,5176,4593,4577,4775,4992,4593,3528,2681,5294,33.8
Queens,81,QN55,South Ozone Park,75878,4463,4701,5165,5908,6053,5473,5024,5287,6027,6242,5870,4678,3690,7297,36.1
Queens,81,QN56,Ozone Park,21376,1305,1322,1463,1621,1562,1526,1490,1477,1709,1647,1745,1268,1064,2177,36.4
Queens,81,QN57,Lindenwood-Howard Beach,26148,1256,1316,1277,1333,1297,1447,1680,1609,1780,1808,2026,1791,1881,5647,45.2
Queens,81,QN60,Kew Gardens,23278,1368,1152,1029,1087,1334,2081,2265,1948,1693,1626,1623,1495,1410,3167,38.3
Queens,81,QN61,Jamaica,53751,3818,3468,3281,3650,4408,4571,4473,4031,4020,3836,3570,3121,2317,5187,34
Queens,81,QN62,Queensboro Hill,20800,1100,1066,1043,1151,1554,1631,1502,1473,1553,1750,1708,1438,1210,2621,39.6
Queens,81,QN63,Woodside,45099,2415,2265,2105,2274,3328,4488,4401,3835,3514,3270,3100,2537,2146,5421,36.6
Queens,81,QN66,Laurelton,24453,1180,1404,1575,1787,1760,1431,1461,1406,1796,1955,1901,1576,1524,3697,40.6
Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,20030,1304,1273,1291,1568,1656,2068,1628,1399,1426,1349,1254,1005,897,1912,32.6
Queens,81,QN70,Astoria,78793,3480,3037,3060,3392,6630,11586,9252,6843,5633,4944,4599,4018,3373,8946,34.3
Queens,81,QN71,Old Astoria,27814,1425,1385,1397,1596,2307,3737,3029,2431,2070,1741,1513,1255,1090,2838,33.2
Queens,81,QN72,Steinway,47534,2249,1833,1773,1849,3529,6395,5404,4045,3409,2980,2939,2469,2190,6470,35.8
Queens,81,QN76,Baisley Park,34603,2198,2389,2569,2923,2699,2430,2264,2191,2414,2763,2585,2013,1469,3696,34.6
Queens,81,QN98,Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Queens,81,QN99,park-cemetery-etc-Queens,436,11,15,9,18,27,21,37,35,35,25,47,20,27,109,45.8
Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,27770,1397,1698,1817,1880,1720,1594,1487,1814,2073,2274,2246,1961,1869,3940,41.2
Staten Island,85,SI05,New Springville-Bloomfield-Travis,39597,2318,2391,2441,2629,2527,2507,2537,2569,2538,2773,2942,2880,2701,5844,39.8
Staten Island,85,SI07,Westerleigh,24102,1390,1436,1473,1520,1340,1438,1508,1577,1739,1883,1912,1651,1461,3774,41.1
